,compound,a,Tc,elements,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
10,HfC,4.65,1.0,BASE,Hf1 C1,6.0,72.0,66.0,39.0,33.0,6.0,45.0,77.0,32.0,61.0,16.0,45.0,12.0107,178.49,166.47930000000002,95.25035,83.23965000000001,12.0107,2506.0,3823.0,1317.0,3164.5,658.5,2506.0,4.0,14.0,10.0,9.0,5.0,4.0,2.0,6.0,4.0,4.0,2.0,2.0,76.0,175.0,99.0,125.5,49.5,76.0,1.3,2.55,1.2499999999999998,1.9249999999999998,0.6249999999999999,1.3,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,14.0,14.0,7.0,7.0,0.0,4.0,18.0,14.0,11.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,6.0,2.0,4.0,5.64,22.2,16.56,13.92,8.280000000000001,5.64,0.0,4.496,4.496,2.248,2.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0
11,VC,4.19,1.0,BASE,V1 C1,6.0,23.0,17.0,14.5,8.5,6.0,46.0,77.0,31.0,61.5,15.5,46.0,12.0107,50.9415,38.9308,31.4761,19.4654,12.0107,2183.0,3823.0,1640.0,3003.0,820.0,2183.0,5.0,14.0,9.0,9.5,4.5,5.0,2.0,4.0,2.0,3.0,1.0,2.0,76.0,153.0,77.0,114.5,38.5,76.0,1.63,2.55,0.9199999999999999,2.09,0.45999999999999996,1.63,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.5,0.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,7.0,7.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.5,1.5,4.0,5.64,13.01,7.37,9.325,3.685,5.64,0.0,4.496,4.496,2.248,2.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
12,TiC,4.41,1.5,BASE,Ti1 C1,6.0,22.0,16.0,14.0,8.0,6.0,43.0,77.0,34.0,60.0,17.0,43.0,12.0107,47.867,35.8563,29.93885,17.92815,12.0107,1941.0,3823.0,1882.0,2882.0,941.0,1941.0,4.0,14.0,10.0,9.0,5.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,76.0,160.0,84.0,118.0,42.0,76.0,1.54,2.55,1.0099999999999998,2.045,0.5049999999999999,1.54,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,6.0,2.0,4.0,5.64,16.69,11.05,11.165000000000001,5.525,5.64,0.0,4.496,4.496,2.248,2.248,0.0,0.0,2.25333333333e-05,2.25333333333e-05,1.126666666665e-05,1.126666666665e-05,0.0,194.0,194.0,0.0,194.0,0.0,194.0
13,ZrC,4.72,2.0,BASE,Zr1 C1,6.0,40.0,34.0,23.0,17.0,6.0,44.0,77.0,33.0,60.5,16.5,44.0,12.0107,91.224,79.2133,51.61735,39.60665,12.0107,2128.0,3823.0,1695.0,2975.5,847.5,2128.0,4.0,14.0,10.0,9.0,5.0,4.0,2.0,5.0,3.0,3.5,1.5,2.0,76.0,175.0,99.0,125.5,49.5,76.0,1.33,2.55,1.2199999999999998,1.94,0.6099999999999999,1.33,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,6.0,2.0,4.0,5.64,23.195,17.555,14.4175,8.7775,5.64,0.0,4.496,4.496,2.248,2.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0
14,C1Hf0.15Mo0.85,4.429,9.0,Hf Mo C,C1 Hf0.15 Mo0.85,6.0,72.0,66.0,26.249999999999996,20.25,6.0,45.0,77.0,32.0,63.125,13.875,77.0,12.0107,178.49,166.47930000000002,60.17509999999999,48.16439999999999,12.0107,2506.0,3823.0,1317.0,3330.25,492.75,3823.0,4.0,14.0,10.0,9.85,4.1499999999999995,14.0,2.0,6.0,4.0,3.575,1.575,2.0,76.0,175.0,99.0,116.575,40.575,76.0,1.3,2.55,1.2499999999999998,2.2904999999999998,0.25949999999999984,2.55,1.0,2.0,1.0,1.575,0.48875,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,2.275,2.31625,0.0,0.0,14.0,14.0,1.05,1.9425,0.0,4.0,18.0,14.0,5.8999999999999995,1.9000000000000001,4.0,0.0,1.0,1.0,0.425,0.48875,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,8.0,8.0,2.725,2.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,5.15,1.15,4.0,5.64,22.2,16.56,11.15325,5.513249999999999,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,208.875,17.10625,194.0
15,C1Hf0.25Mo0.75,4.455,6.6,Hf Mo C,C1 Hf0.25 Mo0.75,6.0,72.0,66.0,27.75,21.75,6.0,45.0,77.0,32.0,62.875,14.125,77.0,12.0107,178.49,166.47930000000002,64.30160000000001,52.2909,12.0107,2506.0,3823.0,1317.0,3310.75,512.25,3823.0,4.0,14.0,10.0,9.75,4.25,14.0,2.0,6.0,4.0,3.625,1.625,2.0,76.0,175.0,99.0,117.625,41.625,76.0,1.3,2.55,1.2499999999999998,2.2475,0.3024999999999998,2.55,1.0,2.0,1.0,1.625,0.46875,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,2.125,2.15625,0.0,0.0,14.0,14.0,1.75,3.0625,0.0,4.0,18.0,14.0,6.5,2.875,4.0,0.0,1.0,1.0,0.375,0.46875,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,8.0,8.0,2.875,2.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,5.25,1.25,4.0,5.64,22.2,16.56,11.47875,5.83875,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,207.125,16.40625,194.0
16,C1Hf0.3Mo0.7,4.468,5.5,Hf Mo C,C1 Hf0.3 Mo0.7,6.0,72.0,66.0,28.5,22.5,6.0,45.0,77.0,32.0,62.75,14.25,77.0,12.0107,178.49,166.47930000000002,66.36485,54.35415,12.0107,2506.0,3823.0,1317.0,3301.0,522.0,3823.0,4.0,14.0,10.0,9.7,4.3,14.0,2.0,6.0,4.0,3.65,1.65,2.0,76.0,175.0,99.0,118.15,42.15,76.0,1.3,2.55,1.2499999999999998,2.226,0.3239999999999999,2.55,1.0,2.0,1.0,1.65,0.455,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,2.05,2.065,0.0,0.0,14.0,14.0,2.1,3.57,0.0,4.0,18.0,14.0,6.799999999999999,3.3599999999999994,4.0,0.0,1.0,1.0,0.35,0.45499999999999996,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,8.0,8.0,2.95,2.9499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,5.3,1.3,4.0,5.64,22.2,16.56,11.641499999999999,6.001499999999999,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,206.25,15.925,194.0
17,C1Hf0.5Mo0.5,4.52,3.4,Hf Mo C,C1 Hf0.5 Mo0.5,6.0,72.0,66.0,31.5,25.5,6.0,45.0,77.0,32.0,62.25,14.75,77.0,12.0107,178.49,166.47930000000002,74.61785,62.607150000000004,12.0107,2506.0,3823.0,1317.0,3262.0,561.0,3823.0,4.0,14.0,10.0,9.5,4.5,14.0,2.0,6.0,4.0,3.75,1.75,2.0,76.0,175.0,99.0,120.25,44.25,76.0,1.3,2.55,1.2499999999999998,2.1399999999999997,0.4200000000000001,2.55,1.0,2.0,1.0,1.75,0.375,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,1.75,1.75,0.0,0.0,14.0,14.0,3.5,5.25,0.0,4.0,18.0,14.0,8.0,5.0,4.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,8.0,8.0,3.25,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,5.5,1.5,4.0,5.64,22.2,16.56,12.292499999999999,6.6525,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,202.75,13.125,194.0
18,C1Hf0.25Nb0.75,4.5375,7.0,Hf Nb C,C1 Hf0.25 Nb0.75,6.0,72.0,66.0,27.375,21.375,6.0,45.0,77.0,32.0,61.75,15.25,77.0,12.0107,178.49,166.47930000000002,63.1564925,51.1457925,12.0107,2506.0,3823.0,1317.0,3256.0,567.0,3823.0,4.0,14.0,10.0,9.375,4.625,14.0,2.0,6.0,4.0,3.625,1.625,2.0,76.0,175.0,99.0,121.375,45.375,76.0,1.3,2.55,1.2499999999999998,2.0375,0.5124999999999998,2.55,1.0,2.0,1.0,1.625,0.46875,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,1.75,1.75,0.0,0.0,14.0,14.0,1.75,3.0625,0.0,4.0,18.0,14.0,6.125,2.96875,4.0,0.0,1.0,1.0,0.375,0.46875,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,8.0,8.0,3.25,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,5.625,1.625,4.0,5.64,22.2,16.56,12.4125,6.7725,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,207.125,16.40625,194.0
19,C1Hf0.4Nb0.6,4.56,5.6,Hf Nb C,C1 Hf0.4 Nb0.6,6.0,72.0,66.0,29.699999999999996,23.7,6.0,45.0,77.0,32.0,61.6,15.399999999999999,77.0,12.0107,178.49,166.47930000000002,69.575264,57.564564000000004,12.0107,2506.0,3823.0,1317.0,3237.7,585.3,3823.0,4.0,14.0,10.0,9.3,4.7,14.0,2.0,6.0,4.0,3.7,1.7,2.0,76.0,175.0,99.0,122.19999999999999,46.2,76.0,1.3,2.55,1.2499999999999998,2.0149999999999997,0.5349999999999998,2.55,1.0,2.0,1.0,1.7,0.42000000000000004,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,1.6,1.6,0.0,0.0,14.0,14.0,2.8000000000000003,4.4799999999999995,0.0,4.0,18.0,14.0,7.1,4.359999999999999,4.0,0.0,1.0,1.0,0.3,0.42,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,8.0,8.0,3.4,3.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,5.7,1.7,4.0,5.64,22.2,16.56,12.713999999999999,7.074,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,204.5,14.7,194.0
20,C1Hf0.5Nb0.5,4.575,4.8,Hf Nb C,C1 Hf0.5 Nb0.5,6.0,72.0,66.0,31.25,25.25,6.0,45.0,77.0,32.0,61.5,15.5,77.0,12.0107,178.49,166.47930000000002,73.854445,61.843745,12.0107,2506.0,3823.0,1317.0,3225.5,597.5,3823.0,4.0,14.0,10.0,9.25,4.75,14.0,2.0,6.0,4.0,3.75,1.75,2.0,76.0,175.0,99.0,122.75,46.75,76.0,1.3,2.55,1.2499999999999998,2.0,0.5499999999999998,2.55,1.0,2.0,1.0,1.75,0.375,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,1.5,1.5,0.0,0.0,14.0,14.0,3.5,5.25,0.0,4.0,18.0,14.0,7.75,5.125,4.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,8.0,8.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,5.75,1.75,4.0,5.64,22.2,16.56,12.915,7.275,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,202.75,13.125,194.0
21,C1Hf0.6Nb0.4,4.59,4.5,Hf Nb C,C1 Hf0.6 Nb0.4,6.0,72.0,66.0,32.8,26.799999999999997,6.0,45.0,77.0,32.0,61.4,15.599999999999998,77.0,12.0107,178.49,166.47930000000002,78.133626,66.12292599999999,12.0107,2506.0,3823.0,1317.0,3213.3,609.7,3823.0,4.0,14.0,10.0,9.2,4.8,14.0,2.0,6.0,4.0,3.8,1.8,2.0,76.0,175.0,99.0,123.30000000000001,47.300000000000004,76.0,1.3,2.55,1.2499999999999998,1.985,0.565,2.55,1.0,2.0,1.0,1.8,0.32,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,1.4,1.4,0.0,0.0,14.0,14.0,4.2,5.88,0.0,4.0,18.0,14.0,8.399999999999999,5.76,4.0,0.0,1.0,1.0,0.2,0.32000000000000006,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,8.0,8.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,5.800000000000001,1.7999999999999998,4.0,5.64,22.2,16.56,13.116,7.476,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,201.0,11.2,194.0
22,C1Hf0.7Nb0.3,4.605,6.1,Hf Nb C,C1 Hf0.7 Nb0.3,6.0,72.0,66.0,34.35,28.349999999999998,6.0,45.0,77.0,32.0,61.3,15.7,77.0,12.0107,178.49,166.47930000000002,82.412807,70.402107,12.0107,2506.0,3823.0,1317.0,3201.1,621.9,3823.0,4.0,14.0,10.0,9.15,4.85,14.0,2.0,6.0,4.0,3.8499999999999996,1.8499999999999999,2.0,76.0,175.0,99.0,123.85,47.85,76.0,1.3,2.55,1.2499999999999998,1.97,0.5799999999999998,2.55,1.0,2.0,1.0,1.8499999999999999,0.2550000000000001,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,1.2999999999999998,1.3,0.0,0.0,14.0,14.0,4.8999999999999995,6.369999999999999,0.0,4.0,18.0,14.0,9.05,6.265,4.0,0.0,1.0,1.0,0.15,0.255,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,8.0,8.0,3.6999999999999997,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,5.85,1.8499999999999999,4.0,5.64,22.2,16.56,13.317,7.677,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,199.24999999999997,8.92499999999998,194.0
23,C1Ta0.15Mo0.85,4.408,8.9,Mo Ta C,C1 Ta0.15 Mo0.85,6.0,73.0,67.0,26.324999999999996,20.325,6.0,48.0,77.0,29.0,63.35,13.649999999999999,77.0,12.0107,180.94788,168.93718,60.35944099999999,48.348741,12.0107,2896.0,3823.0,927.0,3389.05,433.95,3823.0,5.0,14.0,9.0,9.925,4.075,14.0,2.0,6.0,4.0,3.575,1.575,2.0,76.0,170.0,94.0,116.2,40.2,76.0,1.5,2.55,1.0499999999999998,2.3055,0.24449999999999983,2.55,1.0,2.0,1.0,1.575,0.48875,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,2.35,2.35,0.0,0.0,14.0,14.0,1.05,1.9425,0.0,4.0,19.0,15.0,5.975,1.9749999999999999,4.0,0.0,1.0,1.0,0.425,0.48875,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,7.0,2.65,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.074999999999999,1.075,4.0,5.64,18.12,12.48,10.847249999999999,5.20725,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
24,C1Ta0.2Mo0.8,4.414,8.7,Mo Ta C,C1 Ta0.2 Mo0.8,6.0,73.0,67.0,27.1,21.1,6.0,48.0,77.0,29.0,63.3,13.7,77.0,12.0107,180.94788,168.93718,62.484138,50.473438,12.0107,2896.0,3823.0,927.0,3398.9,424.1,3823.0,5.0,14.0,9.0,9.9,4.1000000000000005,14.0,2.0,6.0,4.0,3.6,1.6,2.0,76.0,170.0,94.0,116.6,40.6,76.0,1.5,2.55,1.0499999999999998,2.2889999999999997,0.26099999999999984,2.55,1.0,2.0,1.0,1.6,0.48,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,2.3,2.3,0.0,0.0,14.0,14.0,1.4000000000000001,2.52,0.0,4.0,19.0,15.0,6.300000000000001,2.5400000000000005,4.0,0.0,1.0,1.0,0.4,0.48,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,7.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.1000000000000005,1.1,4.0,5.64,18.12,12.48,10.908,5.268,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
25,C1Ta0.25Mo0.75,4.42,8.5,Mo Ta C,C1 Ta0.25 Mo0.75,6.0,73.0,67.0,27.875,21.875,6.0,48.0,77.0,29.0,63.25,13.75,77.0,12.0107,180.94788,168.93718,64.608835,52.598135,12.0107,2896.0,3823.0,927.0,3408.75,414.25,3823.0,5.0,14.0,9.0,9.875,4.125,14.0,2.0,6.0,4.0,3.625,1.625,2.0,76.0,170.0,94.0,117.0,41.0,76.0,1.5,2.55,1.0499999999999998,2.2725,0.27749999999999986,2.55,1.0,2.0,1.0,1.625,0.46875,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,2.25,2.25,0.0,0.0,14.0,14.0,1.75,3.0625,0.0,4.0,19.0,15.0,6.625,3.09375,4.0,0.0,1.0,1.0,0.375,0.46875,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,7.0,2.75,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.125,1.125,4.0,5.64,18.12,12.48,10.96875,5.32875,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
26,C1Ta0.5Mo0.5,4.45,7.7,Mo Ta C,C1 Ta0.5 Mo0.5,6.0,73.0,67.0,31.75,25.75,6.0,48.0,77.0,29.0,63.0,14.0,77.0,12.0107,180.94788,168.93718,75.23232,63.221619999999994,12.0107,2896.0,3823.0,927.0,3458.0,365.0,3823.0,5.0,14.0,9.0,9.75,4.25,14.0,2.0,6.0,4.0,3.75,1.75,2.0,76.0,170.0,94.0,119.0,43.0,76.0,1.5,2.55,1.0499999999999998,2.19,0.3599999999999999,2.55,1.0,2.0,1.0,1.75,0.375,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,14.0,14.0,3.5,5.25,0.0,4.0,19.0,15.0,8.25,5.375,4.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.25,1.25,4.0,5.64,18.12,12.48,11.272499999999999,5.6325,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
27,C1Ta0.8Mo0.2,4.486,7.5,Mo Ta C,C1 Ta0.8 Mo0.2,6.0,73.0,67.0,36.400000000000006,30.400000000000002,6.0,48.0,77.0,29.0,62.7,14.3,77.0,12.0107,180.94788,168.93718,87.980502,75.969802,12.0107,2896.0,3823.0,927.0,3517.1,305.90000000000003,3823.0,5.0,14.0,9.0,9.6,4.4,14.0,2.0,6.0,4.0,3.9000000000000004,1.9,2.0,76.0,170.0,94.0,121.4,45.4,76.0,1.5,2.55,1.0499999999999998,2.091,0.4727999999999999,2.55,1.0,2.0,1.0,1.9000000000000001,0.1799999999999999,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,1.7000000000000002,1.7000000000000002,0.0,0.0,14.0,14.0,5.6000000000000005,6.720000000000001,0.0,4.0,19.0,15.0,10.200000000000001,7.04,4.0,0.0,1.0,1.0,0.1,0.18000000000000002,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,7.0,3.3000000000000003,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.4,1.4000000000000001,4.0,5.64,18.12,12.48,11.637,5.997000000000001,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.50000000000003,17.5,194.0
28,C1Ta0.2Nb0.8,4.502,9.9,Nb Ta C,C1 Ta0.2 Nb0.8,6.0,73.0,67.0,26.700000000000003,20.7,6.0,47.0,77.0,30.0,62.099999999999994,14.900000000000002,77.0,12.0107,180.94788,168.93718,61.26269,49.251990000000006,12.0107,2750.0,3823.0,1073.0,3340.5,482.5,3823.0,5.0,14.0,9.0,9.5,4.5,14.0,2.0,6.0,4.0,3.6,1.6,2.0,76.0,170.0,94.0,120.60000000000001,44.599999999999994,76.0,1.5,2.55,1.0499999999999998,2.065,0.4849999999999999,2.55,1.0,2.0,1.0,1.6,0.48,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,1.9000000000000001,1.9,0.0,0.0,14.0,14.0,1.4000000000000001,2.52,0.0,4.0,19.0,15.0,5.9,2.6200000000000006,4.0,0.0,1.0,1.0,0.4,0.48,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,7.0,3.1000000000000005,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.5,1.5,4.0,5.64,18.18,12.54,11.904,6.264000000000001,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
